Age,Gender,Marriage Status,No of People Living in Family,State,Employment Status,No_Employees,Cluster_KModes
79,Male,Married,5,Odisha,Employed(Government),100-500,2
58,Male,Single,8,Punjab,Employed(Government),10-50,1
36,Male,Other,8,Puducherry,Employed(Government),500-1000,1
69,Male,Other,3,Maharashtra,Employed(Private),0-10,2
54,Female,Single,9,Nagaland,Retired,0-10,2
58,Male,Single,3,Goa,Employed(Government),0-10,0
45,Female,Single,6,Chhattisgarh,Employed(Government),1000+,3
67,Female,Single,10,Manipur,Employed(Private),1000+,1
45,Female,Married,9,Andaman and Nicobar Islands,Employed(Private),0-10,0
38,Female,Married,5,Odisha,Student,0-10,1
34,Male,Other,8,Tripura,Employed(Private),1000+,0
30,Female,Other,8,Chhattisgarh,Employed(Private),500-1000,2
68,Female,Married,9,West Bengal,Unemployed,1000+,1
51,Female,Other,8,Manipur,Student,10-50,1
58,Male,Single,7,Manipur,Employed(Private),500-1000,0
21,Female,Married,1,Punjab,Employed(Government),50-100,3
21,Male,Married,7,Punjab,Unemployed,1000+,0
48,Male,Other,1,Arunachal Pradesh,Employed(Private),50-100,0
40,Male,Single,4,Bihar,Retired,1000+,0
32,Female,Other,4,Delhi,Retired,1000+,3
38,Female,Single,5,Mizoram,Retired,500-1000,2
36,Male,Single,3,Punjab,Retired,0-10,0
78,Female,Married,10,Mizoram,Employed(Government),1000+,0
50,Female,Other,7,Andaman and Nicobar Islands,Student,500-1000,1
54,Male,Married,5,Delhi,Employed(Private),1000+,2
76,Male,Single,3,Rajasthan,Employed(Private),50-100,2
65,Female,Married,6,Telangana,Employed(Government),0-10,1
29,Male,Married,3,Assam,Student,50-100,1
35,Female,Married,9,Chhattisgarh,Unemployed,1000+,1
19,Male,Married,9,Puducherry,Retired,10-50,3
44,Female,Single,10,Karnataka,Employed(Private),500-1000,0
23,Female,Married,7,Arunachal Pradesh,Employed(Private),50-100,0
49,Male,Married,9,Haryana,Student,100-500,3
71,Female,Married,8,Jharkhand,Employed(Government),10-50,2
78,Female,Other,9,Punjab,Unemployed,10-50,0
48,Male,Single,8,Uttar Pradesh,Retired,500-1000,0
73,Male,Other,9,Nagaland,Employed(Government),1000+,0
35,Female,Other,10,Chhattisgarh,Employed(Private),500-1000,0
33,Male,Single,8,Mizoram,Retired,50-100,2
68,Male,Other,3,Nagaland,Unemployed,10-50,1
73,Female,Other,3,Meghalaya,Retired,0-10,2
69,Male,Other,9,Bihar,Employed(Private),0-10,2
37,Male,Other,7,Manipur,Employed(Government),10-50,3
47,Female,Married,6,Mizoram,Student,0-10,2
61,Female,Other,1,Odisha,Student,50-100,0
31,Female,Other,8,Manipur,Retired,1000+,2
61,Female,Married,1,Chhattisgarh,Student,100-500,1
38,Female,Married,7,Tripura,Student,500-1000,0
45,Male,Married,2,Andaman and Nicobar Islands,Retired,500-1000,2
55,Female,Married,5,Haryana,Retired,10-50,1
18,Female,Other,5,Tamil Nadu,Student,0-10,1
58,Female,Married,8,Dadra and Nagar Haveli and Daman and Diu,Employed(Private),0-10,1
49,Male,Married,9,Chandigarh,Unemployed,10-50,0
40,Female,Married,4,Meghalaya,Employed(Private),1000+,1
22,Female,Other,2,Punjab,Employed(Government),100-500,0
36,Male,Married,9,Chhattisgarh,Unemployed,50-100,1
49,Female,Single,2,Jammu and Kashmir,Retired,10-50,0
76,Female,Single,6,Goa,Employed(Government),0-10,0
34,Female,Other,7,Andaman and Nicobar Islands,Unemployed,500-1000,0
28,Male,Married,7,West Bengal,Unemployed,100-500,2
48,Male,Other,3,Rajasthan,Unemployed,0-10,1
31,Male,Single,9,Uttarakhand,Employed(Government),10-50,0
61,Female,Other,3,Andhra Pradesh,Employed(Government),10-50,2
74,Female,Married,10,Andhra Pradesh,Unemployed,1000+,0
58,Male,Other,4,Lakshadweep,Employed(Government),500-1000,2
71,Male,Other,2,Nagaland,Unemployed,1000+,3
62,Male,Married,8,Haryana,Retired,10-50,1
41,Male,Other,10,Jharkhand,Employed(Private),50-100,1
24,Male,Married,9,Gujarat,Employed(Government),50-100,0
78,Male,Single,7,Haryana,Unemployed,50-100,3
59,Male,Single,2,Maharashtra,Unemployed,1000+,0
28,Female,Other,8,Goa,Employed(Government),1000+,0
27,Male,Other,6,Gujarat,Employed(Government),0-10,1
79,Male,Other,1,Sikkim,Student,0-10,1
68,Male,Single,7,Karnataka,Employed(Private),100-500,2
20,Female,Married,8,Meghalaya,Student,0-10,2
18,Female,Other,6,Nagaland,Employed(Government),0-10,0
20,Male,Single,10,Uttarakhand,Student,100-500,2
74,Female,Single,5,Gujarat,Retired,50-100,3
55,Male,Married,8,Dadra and Nagar Haveli and Daman and Diu,Retired,0-10,2
51,Male,Single,5,Uttarakhand,Student,500-1000,2
65,Female,Other,10,Jammu and Kashmir,Employed(Government),500-1000,0
28,Female,Single,9,Punjab,Employed(Government),100-500,0
28,Male,Other,10,Andaman and Nicobar Islands,Employed(Private),500-1000,3
69,Female,Single,5,Tamil Nadu,Employed(Government),10-50,1
51,Female,Other,6,Tamil Nadu,Retired,1000+,0
37,Male,Single,6,Uttarakhand,Unemployed,1000+,1
47,Female,Other,8,Uttarakhand,Student,10-50,2
73,Female,Single,2,Tamil Nadu,Retired,10-50,0
31,Female,Married,8,Bihar,Employed(Private),100-500,1
73,Male,Other,3,Delhi,Student,500-1000,1
62,Male,Single,6,Andhra Pradesh,Unemployed,1000+,0
18,Male,Married,10,Jammu and Kashmir,Student,0-10,1
39,Female,Single,3,Nagaland,Student,100-500,0
35,Male,Other,6,Bihar,Retired,1000+,1
63,Male,Other,10,Chhattisgarh,Employed(Government),10-50,0
57,Female,Other,9,Haryana,Employed(Private),10-50,3
39,Female,Single,2,Nagaland,Employed(Private),1000+,3
70,Female,Single,5,Andhra Pradesh,Employed(Government),1000+,3
64,Male,Married,5,Jharkhand,Employed(Government),1000+,3
76,Male,Single,1,Kerala,Retired,10-50,2
37,Female,Other,9,Jammu and Kashmir,Retired,1000+,1
64,Female,Single,3,Punjab,Employed(Government),10-50,0
52,Female,Other,4,Uttar Pradesh,Student,1000+,2
32,Female,Other,2,Goa,Student,0-10,0
26,Male,Single,9,Andhra Pradesh,Employed(Government),1000+,2
50,Male,Married,9,Punjab,Unemployed,500-1000,1
79,Female,Single,5,Jammu and Kashmir,Student,0-10,0
78,Male,Single,10,Goa,Employed(Government),100-500,2
46,Female,Married,10,Rajasthan,Employed(Private),500-1000,1
38,Male,Single,8,Bihar,Unemployed,0-10,0
78,Male,Other,1,West Bengal,Student,1000+,1
54,Female,Married,5,Rajasthan,Employed(Private),50-100,1
32,Female,Married,5,Uttar Pradesh,Employed(Private),50-100,2
70,Male,Other,5,Rajasthan,Unemployed,50-100,1
42,Female,Other,10,Haryana,Student,10-50,1
25,Female,Married,9,Arunachal Pradesh,Unemployed,10-50,0
21,Female,Married,6,Karnataka,Employed(Government),100-500,1
27,Male,Single,4,Kerala,Retired,1000+,0
75,Female,Married,6,Telangana,Employed(Government),100-500,2
60,Female,Other,7,Uttarakhand,Employed(Government),0-10,2
63,Male,Other,1,Jharkhand,Unemployed,50-100,2
23,Male,Single,7,Punjab,Employed(Private),0-10,1
55,Female,Other,6,West Bengal,Employed(Private),500-1000,0
32,Male,Married,7,Assam,Student,50-100,3
46,Male,Married,4,Sikkim,Student,0-10,1
35,Male,Married,9,Uttar Pradesh,Employed(Government),500-1000,2
69,Female,Single,8,Meghalaya,Employed(Private),500-1000,3
59,Male,Single,7,Meghalaya,Retired,100-500,0
27,Male,Other,3,West Bengal,Student,50-100,1
27,Female,Single,6,Uttar Pradesh,Employed(Government),1000+,1
57,Male,Married,7,Gujarat,Unemployed,100-500,1
42,Male,Single,4,West Bengal,Unemployed,500-1000,1
43,Male,Single,7,Punjab,Employed(Government),500-1000,1
31,Male,Other,3,Puducherry,Student,0-10,1
65,Female,Married,2,Kerala,Employed(Government),10-50,0
28,Male,Single,10,Himachal Pradesh,Employed(Private),50-100,0
78,Male,Single,1,Meghalaya,Employed(Private),100-500,2
28,Male,Other,2,Arunachal Pradesh,Employed(Government),50-100,2
70,Female,Single,4,Goa,Employed(Private),0-10,1
59,Male,Married,9,Mizoram,Student,100-500,0
49,Male,Other,8,Telangana,Retired,10-50,1
49,Female,Married,2,Himachal Pradesh,Unemployed,10-50,0
51,Male,Other,7,Mizoram,Employed(Government),100-500,1
32,Female,Married,9,Bihar,Retired,50-100,1
66,Female,Other,6,Sikkim,Employed(Private),100-500,3
76,Female,Other,8,Haryana,Retired,100-500,2
26,Male,Married,5,Lakshadweep,Employed(Private),100-500,0
60,Female,Married,5,Lakshadweep,Student,100-500,0
37,Male,Single,8,Himachal Pradesh,Unemployed,0-10,0
78,Female,Other,2,Chhattisgarh,Employed(Private),50-100,0
64,Male,Single,3,Gujarat,Unemployed,500-1000,1
45,Female,Married,10,Lakshadweep,Student,100-500,0
54,Male,Single,5,Mizoram,Employed(Government),10-50,2
25,Male,Single,2,Nagaland,Employed(Government),500-1000,0
77,Male,Single,6,Andaman and Nicobar Islands,Student,100-500,1
50,Male,Married,3,Rajasthan,Retired,50-100,0
63,Female,Other,6,Jharkhand,Retired,100-500,0
45,Female,Single,1,Assam,Employed(Government),50-100,2
73,Male,Single,1,Uttarakhand,Student,0-10,3
79,Male,Other,5,Haryana,Employed(Private),500-1000,0
27,Male,Married,9,Ladakh,Unemployed,50-100,0
38,Female,Single,9,Dadra and Nagar Haveli and Daman and Diu,Employed(Private),50-100,1
43,Male,Single,7,Jammu and Kashmir,Student,0-10,2
38,Male,Married,3,Bihar,Student,100-500,0
61,Female,Married,6,Ladakh,Unemployed,10-50,3
33,Male,Single,5,Bihar,Employed(Private),100-500,0
77,Female,Married,8,Uttar Pradesh,Employed(Government),500-1000,2
59,Female,Married,5,Goa,Unemployed,1000+,1
23,Male,Single,2,Maharashtra,Retired,10-50,2
58,Male,Single,7,Uttarakhand,Retired,10-50,0
32,Male,Other,4,Uttar Pradesh,Employed(Private),50-100,1
71,Female,Single,7,Kerala,Unemployed,10-50,2
56,Male,Single,9,Chhattisgarh,Unemployed,50-100,1
72,Female,Single,2,Madhya Pradesh,Student,10-50,3
72,Male,Single,3,Chandigarh,Employed(Government),50-100,2
54,Female,Other,7,Manipur,Student,10-50,3
30,Female,Single,2,Madhya Pradesh,Employed(Government),100-500,3
54,Male,Single,10,Gujarat,Student,1000+,2
80,Male,Other,10,Meghalaya,Employed(Government),50-100,0
71,Male,Married,5,Assam,Employed(Government),500-1000,1
74,Female,Married,10,Puducherry,Employed(Government),0-10,2
54,Female,Other,1,Arunachal Pradesh,Retired,10-50,3
63,Male,Married,10,Punjab,Employed(Private),100-500,1
32,Female,Married,1,Lakshadweep,Retired,500-1000,0
26,Female,Single,5,Sikkim,Employed(Private),100-500,0
37,Female,Single,5,Chhattisgarh,Retired,50-100,3
26,Male,Single,3,Bihar,Retired,1000+,1
54,Female,Other,5,Chandigarh,Student,0-10,1
48,Female,Other,1,Punjab,Student,100-500,3
63,Male,Other,9,Tripura,Employed(Private),500-1000,3
75,Female,Other,8,Mizoram,Unemployed,10-50,3
65,Male,Other,4,Dadra and Nagar Haveli and Daman and Diu,Unemployed,10-50,0
60,Female,Single,8,Arunachal Pradesh,Retired,100-500,3
73,Male,Married,9,Bihar,Retired,1000+,2
40,Male,Married,7,Delhi,Student,1000+,1
80,Female,Other,7,Assam,Employed(Government),1000+,1
24,Male,Other,8,Tamil Nadu,Student,100-500,0
77,Female,Other,5,Andhra Pradesh,Student,100-500,2
49,Male,Single,8,Ladakh,Retired,100-500,1
34,Male,Single,4,Punjab,Unemployed,50-100,1
19,Female,Married,9,Telangana,Employed(Government),500-1000,0
42,Male,Married,2,Madhya Pradesh,Unemployed,500-1000,2
74,Male,Single,6,Andhra Pradesh,Employed(Government),0-10,1
61,Female,Other,7,Madhya Pradesh,Unemployed,100-500,2
45,Male,Other,1,Tamil Nadu,Employed(Private),500-1000,1
68,Male,Single,3,Bihar,Employed(Private),100-500,0
73,Female,Married,6,Goa,Employed(Government),0-10,3
77,Male,Single,5,Jammu and Kashmir,Employed(Private),100-500,2
24,Male,Single,6,Tripura,Employed(Government),100-500,1
18,Female,Married,3,Dadra and Nagar Haveli and Daman and Diu,Retired,50-100,0
77,Male,Married,9,Jharkhand,Unemployed,0-10,1
18,Female,Single,2,Sikkim,Retired,100-500,2
78,Male,Married,3,Maharashtra,Employed(Private),100-500,1
75,Male,Married,10,Uttar Pradesh,Employed(Private),50-100,2
72,Male,Single,4,Andhra Pradesh,Retired,500-1000,0
25,Female,Other,1,Lakshadweep,Retired,100-500,0
18,Male,Married,4,Punjab,Employed(Private),50-100,3
24,Male,Married,9,Andaman and Nicobar Islands,Retired,0-10,0
21,Male,Single,7,Mizoram,Unemployed,1000+,0
24,Female,Married,5,West Bengal,Retired,1000+,3
25,Female,Single,3,Arunachal Pradesh,Unemployed,1000+,2
45,Female,Single,10,Dadra and Nagar Haveli and Daman and Diu,Employed(Government),0-10,1
69,Female,Other,3,Nagaland,Student,100-500,2
41,Female,Married,1,Puducherry,Employed(Government),1000+,1
71,Female,Single,6,Uttarakhand,Unemployed,50-100,3
33,Male,Married,7,Arunachal Pradesh,Employed(Private),10-50,0
34,Female,Single,10,Rajasthan,Employed(Private),0-10,1
47,Male,Married,6,Goa,Retired,500-1000,0
43,Female,Single,2,Puducherry,Retired,10-50,0
61,Male,Married,6,Delhi,Student,1000+,0
68,Female,Other,7,Manipur,Employed(Government),500-1000,3
22,Male,Single,3,Ladakh,Employed(Private),100-500,0
42,Male,Married,6,Mizoram,Student,10-50,1
80,Male,Single,8,Jharkhand,Employed(Private),500-1000,1
73,Male,Married,9,Telangana,Employed(Government),10-50,2
62,Female,Other,8,Andhra Pradesh,Retired,1000+,0
24,Male,Married,3,Lakshadweep,Unemployed,0-10,3
42,Female,Other,2,Sikkim,Unemployed,100-500,2
20,Female,Married,2,Manipur,Unemployed,50-100,2
56,Female,Married,3,Bihar,Employed(Government),500-1000,0
20,Female,Married,8,Assam,Student,0-10,3
70,Male,Single,7,Delhi,Unemployed,0-10,1
33,Male,Single,4,Jammu and Kashmir,Employed(Private),1000+,0
51,Male,Other,4,Madhya Pradesh,Retired,50-100,2
21,Female,Other,1,Lakshadweep,Employed(Government),100-500,0
37,Female,Married,4,Odisha,Employed(Government),100-500,1
20,Male,Other,5,Telangana,Retired,500-1000,2
58,Male,Single,4,Telangana,Retired,50-100,3
18,Male,Single,5,Arunachal Pradesh,Employed(Private),10-50,1
47,Male,Married,8,Puducherry,Unemployed,0-10,3
31,Male,Other,8,Ladakh,Employed(Private),50-100,1
79,Female,Single,6,Haryana,Employed(Private),50-100,2
78,Female,Single,10,Sikkim,Student,100-500,2
24,Female,Married,7,Dadra and Nagar Haveli and Daman and Diu,Employed(Private),10-50,0
68,Male,Married,7,Meghalaya,Retired,100-500,3
73,Male,Married,10,Haryana,Employed(Private),0-10,0
70,Female,Single,5,Punjab,Employed(Government),50-100,3
77,Male,Single,1,Uttarakhand,Unemployed,0-10,1
60,Male,Other,6,Assam,Employed(Private),1000+,0
23,Female,Single,9,Chhattisgarh,Student,0-10,1
71,Female,Other,10,Rajasthan,Employed(Government),1000+,1
45,Female,Married,5,Mizoram,Student,100-500,3
74,Female,Single,8,Tripura,Unemployed,1000+,1
46,Female,Married,6,Gujarat,Unemployed,50-100,2
44,Female,Other,5,Chandigarh,Student,10-50,3
76,Male,Single,7,Odisha,Unemployed,500-1000,1
50,Male,Single,8,West Bengal,Unemployed,10-50,0
56,Male,Married,9,West Bengal,Retired,1000+,0
67,Male,Other,7,Karnataka,Employed(Government),100-500,3
79,Male,Single,7,Odisha,Student,1000+,1
23,Female,Single,2,Kerala,Unemployed,0-10,0
52,Male,Other,9,Gujarat,Employed(Private),50-100,1
26,Female,Single,3,Tamil Nadu,Unemployed,1000+,1
56,Female,Married,1,Jammu and Kashmir,Employed(Government),10-50,3
56,Male,Other,8,Tamil Nadu,Unemployed,0-10,0
25,Female,Other,8,Assam,Student,1000+,1
77,Male,Single,5,Tripura,Student,500-1000,0
23,Male,Single,3,Jammu and Kashmir,Unemployed,50-100,3
42,Female,Married,9,Lakshadweep,Unemployed,500-1000,1
78,Male,Married,1,Chandigarh,Employed(Private),1000+,0
33,Female,Single,8,Uttarakhand,Student,10-50,0
73,Male,Other,8,Tripura,Retired,0-10,2
38,Female,Single,6,Goa,Student,10-50,0
58,Female,Other,6,West Bengal,Student,500-1000,1
27,Female,Single,8,Maharashtra,Student,10-50,0
56,Male,Single,7,Odisha,Employed(Government),10-50,0
23,Female,Single,2,Manipur,Student,100-500,3
25,Female,Single,7,Himachal Pradesh,Employed(Private),1000+,1
22,Male,Single,2,Dadra and Nagar Haveli and Daman and Diu,Retired,50-100,1
27,Female,Single,7,Andhra Pradesh,Unemployed,50-100,0
76,Male,Single,7,Nagaland,Unemployed,50-100,1
27,Male,Other,5,Jharkhand,Retired,10-50,0
63,Female,Other,6,West Bengal,Student,1000+,2
64,Female,Single,2,Maharashtra,Employed(Private),10-50,1
49,Male,Other,8,Tripura,Employed(Government),500-1000,2
63,Male,Single,8,Jammu and Kashmir,Student,500-1000,3
47,Female,Single,1,Telangana,Employed(Private),500-1000,0
35,Male,Married,5,Goa,Unemployed,10-50,2
80,Male,Other,6,Chandigarh,Student,0-10,0
72,Female,Married,1,Andhra Pradesh,Employed(Private),10-50,2
46,Female,Single,5,Kerala,Retired,10-50,0
79,Female,Other,10,West Bengal,Employed(Government),0-10,1
33,Male,Married,2,Chandigarh,Student,500-1000,0
32,Female,Other,3,Gujarat,Unemployed,1000+,1
22,Female,Single,5,Tripura,Student,500-1000,1
36,Female,Married,3,Haryana,Unemployed,0-10,0
60,Female,Married,9,Delhi,Student,100-500,1
32,Female,Single,4,Karnataka,Student,1000+,3
70,Female,Other,7,Karnataka,Student,10-50,0
51,Male,Other,10,Odisha,Student,100-500,2
31,Male,Single,6,Sikkim,Unemployed,0-10,3
27,Male,Married,10,Tamil Nadu,Employed(Government),0-10,3
18,Male,Other,9,Madhya Pradesh,Unemployed,500-1000,1
78,Male,Other,8,Uttarakhand,Employed(Government),1000+,3
78,Male,Single,10,Uttar Pradesh,Employed(Government),10-50,2
58,Male,Single,4,Madhya Pradesh,Retired,0-10,1
76,Male,Married,9,Chandigarh,Unemployed,500-1000,0
41,Female,Single,4,Kerala,Retired,100-500,1
42,Female,Single,9,Haryana,Unemployed,0-10,1
61,Female,Other,4,Andhra Pradesh,Student,0-10,0
31,Female,Other,3,Andhra Pradesh,Retired,100-500,0
29,Male,Single,6,Jharkhand,Unemployed,100-500,3
23,Female,Single,3,Mizoram,Employed(Private),50-100,2
58,Female,Married,7,West Bengal,Employed(Private),500-1000,1
67,Female,Single,3,Delhi,Employed(Government),0-10,0
54,Female,Other,7,Maharashtra,Unemployed,1000+,1
24,Male,Married,5,Mizoram,Unemployed,50-100,3
41,Female,Other,8,Manipur,Employed(Government),10-50,3
60,Female,Married,7,Madhya Pradesh,Retired,1000+,3
30,Female,Married,4,Sikkim,Unemployed,10-50,0
72,Male,Single,5,Karnataka,Employed(Private),0-10,3
44,Male,Other,8,Telangana,Retired,50-100,1
19,Female,Married,3,Madhya Pradesh,Employed(Private),500-1000,3
76,Male,Other,10,Nagaland,Employed(Private),0-10,0
41,Male,Single,8,Uttarakhand,Student,10-50,0
52,Male,Married,2,Arunachal Pradesh,Retired,50-100,3
64,Female,Married,3,Sikkim,Employed(Private),100-500,2
36,Female,Single,4,West Bengal,Employed(Private),0-10,1
28,Female,Single,3,Jammu and Kashmir,Unemployed,50-100,3
35,Female,Single,8,Jharkhand,Student,50-100,3
75,Female,Other,8,Jharkhand,Unemployed,0-10,3
71,Female,Other,3,Uttar Pradesh,Student,100-500,1
50,Female,Married,8,Goa,Unemployed,50-100,0
19,Female,Other,1,Nagaland,Retired,1000+,0
43,Female,Married,3,West Bengal,Employed(Government),50-100,0
65,Female,Single,10,Punjab,Employed(Government),50-100,1
56,Male,Single,10,Tripura,Unemployed,100-500,0
34,Female,Other,6,Meghalaya,Retired,500-1000,1
35,Male,Other,4,Andhra Pradesh,Student,50-100,2
51,Male,Other,10,Uttarakhand,Employed(Private),500-1000,0
58,Male,Other,3,Lakshadweep,Unemployed,100-500,1
26,Male,Married,2,Madhya Pradesh,Unemployed,0-10,0
26,Male,Single,5,Mizoram,Unemployed,10-50,3
61,Male,Other,3,Maharashtra,Unemployed,1000+,0
19,Female,Single,10,Gujarat,Retired,50-100,0
47,Male,Other,2,Odisha,Retired,0-10,3
51,Male,Married,2,Kerala,Employed(Private),100-500,2
25,Female,Other,1,Chhattisgarh,Employed(Government),50-100,0
22,Male,Married,4,Haryana,Employed(Government),500-1000,2
37,Female,Other,2,Nagaland,Unemployed,1000+,1
57,Male,Single,1,Jharkhand,Employed(Government),100-500,0
60,Female,Other,7,Chandigarh,Employed(Private),50-100,0
67,Male,Other,10,Madhya Pradesh,Unemployed,1000+,2
25,Female,Married,7,Odisha,Employed(Private),10-50,0
20,Female,Other,8,Rajasthan,Student,10-50,0
35,Female,Other,5,Gujarat,Retired,500-1000,1
76,Female,Married,10,Assam,Employed(Government),100-500,0
50,Male,Other,9,Odisha,Employed(Government),500-1000,2
51,Male,Other,2,Punjab,Unemployed,1000+,0
34,Male,Married,2,Madhya Pradesh,Employed(Private),50-100,0
80,Male,Single,6,Tamil Nadu,Employed(Private),100-500,1
54,Male,Single,1,Chhattisgarh,Unemployed,100-500,0
40,Male,Single,9,Bihar,Retired,10-50,0
61,Male,Single,8,Kerala,Retired,50-100,2
51,Male,Other,7,Madhya Pradesh,Employed(Private),100-500,0
44,Female,Other,9,Rajasthan,Retired,1000+,0
42,Male,Other,4,Punjab,Student,50-100,0
47,Male,Single,10,Ladakh,Employed(Private),500-1000,1
63,Female,Married,5,Tamil Nadu,Employed(Government),10-50,0
49,Female,Other,6,Bihar,Student,500-1000,1
64,Male,Single,4,Tamil Nadu,Retired,0-10,2
26,Male,Single,10,Uttar Pradesh,Retired,0-10,0
40,Female,Single,7,Rajasthan,Employed(Private),100-500,0
51,Female,Other,7,Goa,Retired,1000+,2
21,Male,Married,3,Madhya Pradesh,Student,100-500,1
42,Male,Single,6,Jharkhand,Retired,1000+,0
26,Female,Single,4,Uttarakhand,Retired,50-100,0
21,Female,Married,10,Sikkim,Student,500-1000,0
75,Female,Single,10,Delhi,Unemployed,10-50,1
39,Male,Other,3,Uttar Pradesh,Employed(Government),50-100,2
43,Male,Other,2,Chhattisgarh,Employed(Government),0-10,1
33,Female,Single,2,Sikkim,Student,0-10,1
26,Female,Single,2,Nagaland,Employed(Government),0-10,0
71,Male,Married,5,West Bengal,Student,10-50,2
48,Female,Single,10,Dadra and Nagar Haveli and Daman and Diu,Student,50-100,0
55,Male,Other,10,Maharashtra,Retired,500-1000,1
76,Female,Single,1,Tamil Nadu,Unemployed,1000+,1
77,Female,Married,2,Maharashtra,Retired,10-50,3
18,Female,Other,7,Telangana,Retired,0-10,1
66,Male,Married,8,Odisha,Unemployed,50-100,1
39,Male,Other,3,Dadra and Nagar Haveli and Daman and Diu,Retired,10-50,0
65,Male,Married,2,Bihar,Employed(Government),500-1000,2
25,Female,Other,8,Tripura,Retired,100-500,1
70,Male,Married,8,Andaman and Nicobar Islands,Retired,500-1000,3
65,Male,Single,3,Nagaland,Retired,50-100,0
51,Male,Single,4,Maharashtra,Employed(Private),0-10,0
42,Male,Married,3,Jharkhand,Employed(Government),50-100,0
53,Female,Married,7,West Bengal,Employed(Private),50-100,2
50,Female,Other,6,Delhi,Student,1000+,1
34,Male,Married,4,Jammu and Kashmir,Employed(Private),50-100,3
73,Male,Single,6,Tamil Nadu,Student,500-1000,1
39,Female,Married,1,Meghalaya,Student,0-10,0
76,Female,Single,9,Telangana,Student,0-10,2
25,Male,Single,6,Maharashtra,Student,0-10,1
21,Female,Other,9,Karnataka,Student,0-10,1
29,Female,Married,9,Madhya Pradesh,Unemployed,1000+,1
62,Male,Married,1,Gujarat,Employed(Private),10-50,3
23,Male,Single,8,Himachal Pradesh,Unemployed,1000+,3
50,Male,Other,3,Assam,Unemployed,10-50,1
19,Male,Single,4,Jammu and Kashmir,Retired,50-100,0
24,Male,Other,9,Rajasthan,Employed(Government),10-50,1
40,Male,Other,9,Himachal Pradesh,Employed(Government),500-1000,3
69,Female,Married,4,Chhattisgarh,Unemployed,100-500,0
69,Male,Married,3,Chhattisgarh,Unemployed,500-1000,2
54,Male,Married,4,Meghalaya,Employed(Private),50-100,2
40,Male,Single,5,Karnataka,Employed(Private),10-50,0
42,Female,Married,9,Rajasthan,Student,10-50,0
49,Female,Other,9,Arunachal Pradesh,Employed(Private),50-100,0
54,Female,Single,4,Punjab,Employed(Government),500-1000,1
64,Male,Single,9,Himachal Pradesh,Unemployed,50-100,2
59,Female,Married,7,Tamil Nadu,Employed(Private),500-1000,2
47,Female,Married,4,Chandigarh,Unemployed,1000+,0
70,Male,Other,9,Sikkim,Unemployed,1000+,0
79,Male,Other,9,Nagaland,Retired,0-10,1
51,Male,Married,7,Himachal Pradesh,Retired,10-50,0
48,Female,Other,6,Tripura,Employed(Private),0-10,1
37,Female,Single,3,Himachal Pradesh,Student,100-500,2
28,Male,Married,8,Delhi,Retired,50-100,1
70,Male,Single,9,Nagaland,Employed(Private),10-50,2
45,Female,Other,3,Madhya Pradesh,Employed(Private),500-1000,0
33,Male,Single,1,Gujarat,Retired,50-100,2
21,Male,Single,9,Rajasthan,Retired,1000+,3
74,Female,Married,5,Delhi,Unemployed,100-500,0
52,Male,Other,3,Andaman and Nicobar Islands,Unemployed,50-100,3
61,Female,Other,9,Chandigarh,Student,1000+,0
77,Male,Single,3,Sikkim,Student,10-50,2
19,Male,Married,8,Mizoram,Unemployed,1000+,1
67,Male,Married,5,Chandigarh,Employed(Government),0-10,1
27,Male,Married,10,Jharkhand,Employed(Private),100-500,3
53,Male,Married,3,Madhya Pradesh,Retired,100-500,3
18,Male,Married,2,Lakshadweep,Employed(Private),0-10,3
52,Male,Other,3,Puducherry,Employed(Government),10-50,1
60,Female,Married,1,Haryana,Student,10-50,0
73,Female,Other,5,Andhra Pradesh,Student,500-1000,1
75,Male,Other,6,Madhya Pradesh,Student,10-50,0
69,Male,Other,9,Punjab,Employed(Private),100-500,1
62,Male,Married,9,Andhra Pradesh,Unemployed,1000+,0
20,Male,Other,8,West Bengal,Unemployed,50-100,2
61,Female,Other,9,Himachal Pradesh,Unemployed,50-100,0
43,Male,Single,9,Bihar,Retired,50-100,3
43,Male,Other,9,Uttarakhand,Unemployed,100-500,3
76,Male,Other,3,Chandigarh,Employed(Private),500-1000,2
80,Female,Other,5,Dadra and Nagar Haveli and Daman and Diu,Retired,10-50,2
67,Female,Married,1,Meghalaya,Employed(Government),0-10,1
19,Male,Married,3,Odisha,Unemployed,0-10,0
34,Male,Other,1,Jharkhand,Employed(Government),1000+,1
56,Female,Single,3,Ladakh,Student,1000+,2
62,Male,Other,9,Telangana,Employed(Government),100-500,2
36,Female,Other,4,Jharkhand,Employed(Private),500-1000,1
60,Female,Other,7,Goa,Unemployed,0-10,1
80,Female,Single,1,Karnataka,Unemployed,10-50,2
31,Female,Other,8,Goa,Student,0-10,2
72,Female,Single,10,Dadra and Nagar Haveli and Daman and Diu,Student,100-500,1
69,Female,Single,7,Tripura,Employed(Government),10-50,3
67,Male,Single,1,Gujarat,Employed(Government),0-10,2
51,Male,Married,2,Lakshadweep,Retired,1000+,0
33,Female,Married,6,Odisha,Employed(Government),1000+,0
22,Female,Married,8,Andhra Pradesh,Unemployed,1000+,2
46,Male,Married,10,Chhattisgarh,Employed(Private),0-10,0
58,Female,Married,8,Jammu and Kashmir,Student,10-50,0
